Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14308478,"Nay Chi Lin Lei","2025-11-16 16:42:39",0.00044,5,naychilinlei
2,14316924,BYPEAZ,"2025-11-17 14:45:58",0.00044,11,"hnineieiaung,kaunghsethein,khaingzinthan27,kornthana,siridee,thanakit845"
3,14583552,LiQilong,"2025-12-09 01:01:20",0.00044,20,llloooccc
4,14352320,"Dnyanesh Bharambe","2026-01-10 14:12:14",0.00044,12,dnyaneshbharambe
5,14707139,"Bogdan Vladevski","2025-12-14 19:15:27",0.00044,11,bogdanvladevski
6,12131773,"Tajmahal Ghaza Antoni","2025-11-28 16:17:29",0.00044,2,tajmahalghazaantoni
7,14835983,"justtin manickam","2025-11-26 00:08:31",0.00044,2,justtinmanickam
8,14841261,"l lll","2025-11-30 09:10:47",0.00044,25,lcarrot123
9,14856044,lee223333,"2025-11-29 14:22:20",0.00044,6,lee223333
10,14855996,dingby999,"2025-11-30 02:36:06",0.00044,7,dingby999
11,14834108,oxsivx,"2025-12-02 10:53:59",0.00044,4,oxsivx
12,14830968,nayu0324,"2025-12-02 10:06:28",0.00044,5,nayu0324
13,14830985,songjiseong,"2025-12-02 18:22:00",0.00044,7,songjiseong
14,14831033,"Donghoé Heo","2025-12-03 11:32:42",0.00044,18,donghoheo
15,14893836,"Meenal Sinha","2025-12-04 05:26:58",0.00044,1,meenalsinha
16,14834232,wuxianaisai,"2025-12-06 15:36:23",0.00044,6,nicksev
17,14947682,"GOWRISANKAR R","2025-12-11 03:53:49",0.00044,1,gowrisankar577
18,14948622,AlexDF1234,"2025-12-11 09:32:50",0.00044,4,alexdf1234
19,14370503,ufukk,"2026-01-04 22:59:21",0.00044,5,ufukckose
20,14966387,"M.N. Mohamed Aman","2025-12-18 15:14:35",0.00044,5,mnmohamedaman
21,14530244,PrtkPiyush,"2025-12-19 04:31:23",0.00044,3,prtkpiyush
22,15002236,"BV PROPERTY","2025-12-20 14:43:44",0.00044,1,bvproperty
23,13889105,"napatchol thaipanich","2025-12-22 09:07:38",0.00044,12,napatcholthaipanich
24,7598530,IS688_Team_CVSS,"2025-12-25 17:20:17",0.00044,2,"hanzhangfang,jiaxingzhang2,kevinreal51"
25,15030398,"Jadeon Smith","2025-12-28 01:09:26",0.00044,1,jadeonsmith
26,15030519,undesuWw,"2025-12-28 02:45:33",0.00044,1,undesuww
27,14516011,"Ritvik Vasikarla","2025-12-30 01:26:52",0.00044,2,ritvikvasikarla
28,9113328,"LAUVF PITIPAK","2026-01-01 14:45:21",0.00044,1,lauvfpitipak
29,15045035,"Syntax Syndicate","2026-01-07 16:12:38",0.00044,22,"adinathjagtap777,prajwalzolage05"
30,13082019,yyc_2611,"2026-01-02 11:15:17",0.00044,1,yyc2611
31,15061647,"Samyakraj Bayar","2026-01-11 19:14:58",0.00044,2,samyakrajbayar
32,10393754,"Mr. Sohel Rana #2","2026-01-06 15:35:58",0.00044,1,mrsohelranapro
33,15059863,"Sanjay Ganapathy","2026-01-06 21:16:00",0.00044,3,sanjayganapathy
34,14901896,SteveChen666,"2026-01-09 09:12:47",0.00044,18,stevechen666
35,15076426,"Ислам Адаев","2026-01-13 19:42:13",0.00044,27,shnex95
36,15088440,showeryuu,"2026-01-13 04:59:53",0.00044,1,showeryuu
37,14621035,"Xinyue Xu0541","2026-01-13 07:46:29",0.00586,14,"ovanespetrosian,xinyuexu0541"
38,14979740,"[Deleted] 3d9c9784-3275-4541-b892-abde91c9243b","2025-12-22 18:15:01",0.00586,23,del=b07463a3d6f15346
39,14621034,"Ruier Li","2026-01-13 07:31:39",0.00702,6,ruierli
40,13967738,Nagisa丶,"2026-01-12 01:16:32",0.01229,88,nagisa1998
41,15074282,"SteveChen666 #2","2026-01-09 09:29:45",0.01382,10,stevechen6660
42,14989018,JJwm,"2025-12-21 15:33:38",0.01513,9,sjwell
43,14602152,"Vismita Tej","2025-11-19 11:46:15",0.03623,6,vismitatej
44,14337208,VAIBHAV,"2025-11-19 15:01:23",0.03806,5,kraken2412
45,14384372,"Robert Myers II","2025-11-23 18:41:59",0.04954,1,robertmyersii
46,14824936,WhyName,"2025-11-24 06:40:48",0.05903,2,whyname1103
47,7177380,"Pablo Mas","2025-12-20 13:30:23",0.07389,2,pablomas
48,14787932,c798555,"2025-11-19 06:37:37",0.08556,4,c798555
